,Hospital,Address,Coordinates
1078,東區東光里,"701, Taiwan, 台南市東區東光里","(22.99242, 120.2303571)"
1079,東區後甲里,"701, Taiwan, 台南市東區後甲里","(22.9927707, 120.2382911)"
1080,東區莊敬里,"701, Taiwan, 台南市東區莊敬里","(22.9966645, 120.232521)"
1081,東區小東里,"701, Taiwan, 台南市東區小東里","(22.9970514, 120.227472)"
1082,東區大學里,"701, Taiwan, 台南市東區大學里","(22.9963981, 120.2209801)"
1083,東區成大里,"701, Taiwan, 台南市東區成大里","(22.9976069, 120.2152092)"
1084,北區公園里,"704, Taiwan, 台南市北區公園里","(23.0006781, 120.2101595)"
1085,北區中樓里,"704, Taiwan, 台南市北區中樓里","(23.0034966, 120.2159306)"
1086,北區賢北里,"704, Taiwan, 台南市北區賢北里","(23.006719, 120.1813004)"
1087,北區大豐里,"704, Taiwan, 台南市北區大豐里","(23.0078107, 120.1921233)"
1088,北區大港里,"704, Taiwan, 台南市北區大港里","(23.0104452, 120.1827435)"
1089,北區正覺里,"704, Taiwan, 台南市北區正覺里","(23.0151428, 120.2116023)"
1090,北區大和里,"704, Taiwan, 台南市北區大和里","(23.0153463, 120.1914018)"
1091,北區成功里,"704, Taiwan, 台南市北區成功里","(23.0202949, 120.2094381)"
1092,將軍區長榮里,"725, Taiwan, 台南市將軍區長榮里","(23.1900666, 120.161817)"
1093,將軍區玉山里,"725, Taiwan, 台南市將軍區玉山里","(23.2093084, 120.1213978)"
1094,將軍區廣山里,"725, Taiwan, 台南市將軍區廣山里","(23.2200538, 120.1213978)"
1095,將軍區平沙里,"725, Taiwan, 台南市將軍區平沙里","(23.2087876, 120.0982956)"
1096,將軍區長沙里,"725, Taiwan, 台南市將軍區長沙里","(23.2183216, 120.1040715)"
1097,北門區三光里,"727, Taiwan, 台南市北門區三光里","(23.2332276, 120.1098472)"
1098,北門區玉港里,"727, Taiwan, 台南市北門區玉港里","(23.2689137, 120.144496)"
1099,北門區保吉里,"727, Taiwan, 台南市北門區保吉里","(23.2845247, 120.1213978)"
1100,北門區錦湖里,"727, Taiwan, 台南市北門區錦湖里","(23.2941931, 120.1647036)"
1101,北門區慈安里,"727, Taiwan, 台南市北門區慈安里","(23.2439737, 120.1098472)"
1102,北門區雙春里,"727, Taiwan, 台南市北門區雙春里","(23.3122462, 120.1300601)"
1103,南區佛壇里,"702, Taiwan, 台南市南區佛壇里","(22.9195212, 120.1776926)"
1104,南區同安里,"702, Taiwan, 台南市南區同安里","(22.9224836, 120.1892373)"
1105,南區松安里,"702, Taiwan, 台南市南區松安里","(22.9248924, 120.1776926)"
1106,南區永寧里,"702, Taiwan, 台南市南區永寧里","(22.9291405, 120.1798573)"
1107,南區喜南里,"702, Taiwan, 台南市南區喜南里","(22.9383204, 120.1776926)"
1108,南區喜東里,"702, Taiwan, 台南市南區喜東里","(22.9423225, 120.1906803)"
1109,南區喜北里,"702, Taiwan, 台南市南區喜北里","(22.9490628, 120.1776926)"
1110,南區南都里,"702, Taiwan, 台南市南區南都里","(22.9550918, 120.1841866)"
1111,南區南華里,"702, Taiwan, 台南市南區南華里","(22.9622436, 120.1885158)"
1112,南區建南里,"702, Taiwan, 台南市南區建南里","(22.9572284, 120.1964522)"
1113,南區明興里,"702, Taiwan, 台南市南區明興里","(22.9629831, 120.1914018)"
1114,南區郡南里,"702, Taiwan, 台南市南區郡南里","(22.964243, 120.1950093)"
1115,南區開南里,"702, Taiwan, 台南市南區開南里","(22.9668748, 120.1856297)"
1116,南區明亮里,"702, Taiwan, 台南市南區明亮里","(22.9693947, 120.1928448)"
1117,南區鯤鯓里,"702, Taiwan, 台南市南區鯤鯓里","(22.9566809, 120.1733631)"
1118,南區大忠里,"702, Taiwan, 台南市南區大忠里","(22.9698014, 120.2101595)"
1119,南區光明里,"702, Taiwan, 台南市南區光明里","(22.971944, 120.1870727)"
1120,南區府南里,"702, Taiwan, 台南市南區府南里","(22.9722988, 120.1950093)"
1121,南區大林里,"702, Taiwan, 台南市南區大林里","(22.9733919, 120.2058311)"
1122,南區國宅里,"702, Taiwan, 台南市南區國宅里","(22.9759721, 120.1870727)"
1123,南區田寮里,"702, Taiwan, 台南市南區田寮里","(22.976847, 120.1957308)"
1124,南區新生里,"702, Taiwan, 台南市南區新生里","(22.9775543, 120.2116023)"
1125,南區竹溪里,"702, Taiwan, 台南市南區竹溪里","(22.9779397, 120.2065525)"
1126,南區明德里,"702, Taiwan, 台南市南區明德里","(22.9710918, 120.200781)"
1127,南區再興里,"702, Taiwan, 台南市南區再興里","(22.9801358, 120.1928448)"
1128,南區彰南里,"702, Taiwan, 台南市南區彰南里","(22.9715887, 120.1791357)"
1129,南區金華里,"702, Taiwan, 台南市南區金華里","(22.9796984, 120.1885158)"
1130,南區新興里,"702, Taiwan, 台南市南區新興里","(22.9799434, 120.19537)"
1131,南區文南里,"702, Taiwan, 台南市南區文南里","(22.9840282, 120.1870727)"
1132,南區新昌里,"702, Taiwan, 台南市南區新昌里","(22.9835601, 120.1957308)"
1133,南區廣州里,"702, Taiwan, 台南市南區廣州里","(22.9841637, 120.1928448)"
1134,南區文華里,"702, Taiwan, 台南市南區文華里","(22.98611, 120.1899588)"
1135,安南區溪頂里,"709, Taiwan, 台南市安南區溪頂里","(23.0254471, 120.2072739)"
1136,安南區海佃里,"709, Taiwan, 台南市安南區海佃里","(23.0245267, 120.1892373)"
1137,安南區溪東里,"709, Taiwan, 台南市安南區溪東里","(23.0253139, 120.2015025)"
1138,安南區溪北里,"709, Taiwan, 台南市安南區溪北里","(23.0255799, 120.2130451)"
1139,安南區溪墘里,"709, Taiwan, 台南市安南區溪墘里","(23.0244424, 120.1928448)"
1140,安南區安富里,"709, Taiwan, 台南市安南區安富里","(23.0251806, 120.1957308)"
1141,安南區塩田里,"709, Taiwan, 台南市安南區塩田里","(23.028049, 120.1531568)"
1142,安南區鳳凰里,"709, Taiwan, 台南市安南區鳳凰里","(23.0417267, 120.2000596)"
1143,安南區公親里,"709, Taiwan, 台南市安南區公親里","(23.0764154, 120.1978952)"
1144,安南區砂崙里,"709, Taiwan, 台南市安南區砂崙里","(23.0803589, 120.1213978)"
1145,安平區文平里,"708, Taiwan, 台南市安平區文平里","(22.9860574, 120.1805789)"
1146,安平區國平里,"708, Taiwan, 台南市安平區國平里","(22.9793723, 120.1675902)"
1147,安平區育平里,"708, Taiwan, 台南市安平區育平里","(22.989074, 120.1661469)"
1148,安平區華平里,"708, Taiwan, 台南市安平區華平里","(22.9948005, 120.1740847)"
1149,安平區怡平里,"708, Taiwan, 台南市安平區怡平里","(22.994197, 120.176971)"
1150,安平區建平里,"708, Taiwan, 台南市安平區建平里","(22.9935103, 120.1834651)"
1151,學甲區大灣里,"726, Taiwan, 台南市學甲區大灣里","(23.2157828, 120.1863512)"
1152,學甲區豐和里,"726, Taiwan, 台南市學甲區豐和里","(23.2224424, 120.1993381)"
1153,學甲區新榮里,"726, Taiwan, 台南市學甲區新榮里","(23.2265232, 120.1863512)"
1154,學甲區慈福里,"726, Taiwan, 台南市學甲區慈福里","(23.2327168, 120.1856297)"
1155,學甲區仁得里,"726, Taiwan, 台南市學甲區仁得里","(23.2240163, 120.1791357)"
1156,學甲區新達里,"726, Taiwan, 台南市學甲區新達里","(23.2414846, 120.2108809)"
1157,學甲區中洲里,"726, Taiwan, 台南市學甲區中洲里","(23.2462108, 120.1502699)"
1158,學甲區平和里,"726, Taiwan, 台南市學甲區平和里","(23.2530789, 120.2195374)"
1159,學甲區宅港里,"726, Taiwan, 台南市學甲區宅港里","(23.2591728, 120.1906803)"
1160,學甲區三慶里,"726, Taiwan, 台南市學甲區三慶里","(23.2868776, 120.1993381)"
1161,斗六市重光里,"640, Taiwan, 雲林縣斗六市重光里","(23.6977703, 120.5710804)"
1162,竹東鎮上舘里,"310, Taiwan, 新竹縣竹東鎮上舘里","(24.7154807, 121.0894002)"
1163,白沙鄉瓦硐村,"884, Taiwan, 澎湖縣白沙鄉瓦硐村","(23.6561231, 119.5876075)"
1164,白沙鄉港子村,"884, Taiwan, 澎湖縣白沙鄉港子村","(23.6489175, 119.5963033)"
1165,安南區幸福里,"709, Taiwan, 台南市安南區幸福里","(23.0210189, 120.1899588)"
1166,斗六市林頭里,"640, Taiwan, 雲林縣斗六市林頭里","(23.7002722, 120.5595696)"
1167,香山區內湖里,"300, Taiwan, 新竹市香山區內湖里","(24.7431034, 120.9159131)"
1168,烏坵鄉大坵村,大坵村邮政编码: 896,"(24.9944743, 119.451303)"
1169,烏坵鄉小坵村,小坵村邮政编码: 896,"(24.9852135, 119.4723371)"
1170,桃園區龍山里,"330, Taiwan, 桃園市桃園區龍山里","(24.9837886, 121.2640673)"
1171,中壢區福德里,"320, Taiwan, 桃園市中壢區福德里","(24.9786392, 121.2604906)"
1172,中壢區內壢里,"320, Taiwan, 桃園市中壢區內壢里","(24.9756487, 121.2619213)"
1173,新豐鄉鳳坑村,"304, Taiwan, 新竹縣新豐鄉鳳坑村","(24.8912182, 120.9675551)"
1174,新豐鄉上坑村,"304, Taiwan, 新竹縣新豐鄉上坑村","(24.883261, 120.9790281)"
1175,新豐鄉松柏村,"304, Taiwan, 新竹縣新豐鄉松柏村","(24.8683153, 120.9919339)"
1176,新豐鄉松林村,"304, Taiwan, 新竹縣新豐鄉松林村","(24.8696297, 120.9861981)"
1177,新豐鄉瑞興村,"304, Taiwan, 新竹縣新豐鄉瑞興村","(24.9073308, 121.0134406)"
1178,新豐鄉青埔村,"304, Taiwan, 新竹縣新豐鄉青埔村","(24.919301, 121.0077058)"
1179,新豐鄉埔和村,"304, Taiwan, 新竹縣新豐鄉埔和村","(24.9272619, 120.9962356)"
1180,新豐鄉新豐村,"304, Taiwan, 新竹縣新豐鄉新豐村","(24.9152288, 120.9790281)"
1181,斗六市仁愛里,"640, Taiwan, 雲林縣斗六市仁愛里","(23.7076147, 120.5473382)"
1182,斗六市信義里,"640, Taiwan, 雲林縣斗六市信義里","(23.7122558, 120.5444601)"
1183,屏東市民權里,"900, Taiwan, 屏東縣屏東市民權里","(22.6723026, 120.4829244)"
1184,屏東市大埔里,"900, Taiwan, 屏東縣屏東市大埔里","(22.6720848, 120.4807648)"
1185,芎林鄉芎林村,"307, Taiwan, 新竹縣芎林鄉芎林村","(24.7758587, 121.0786541)"
1186,鹽埕區中山里,"803, Taiwan, 高雄市鹽埕區中山里","(22.6270267, 120.2819192)"
1187,鹽埕區新樂里,"803, Taiwan, 高雄市鹽埕區新樂里","(22.6247149, 120.2833612)"
1188,鹽埕區中原里,"803, Taiwan, 高雄市鹽埕區中原里","(22.6269328, 120.2831809)"
1189,鹽埕區河濱里,"803, Taiwan, 高雄市鹽埕區河濱里","(22.6218817, 120.2840822)"
1190,北區康樂里,"300, Taiwan, 新竹市北區康樂里","(24.8355321, 120.9489091)"
1191,北區古賢里,"300, Taiwan, 新竹市北區古賢里","(24.8282352, 120.9575153)"
1192,北區士林里,"300, Taiwan, 新竹市北區士林里","(24.8235612, 120.9546466)"
1193,水林鄉欍埔村,"652, Taiwan, 雲林縣水林鄉舊埔村","(23.518878, 120.208854)"
1194,新港鄉南崙村,"616, Taiwan, 嘉義縣新港鄉南崙村","(23.5855604, 120.3464333)"
1195,新港鄉板頭村,"616, Taiwan, 嘉義縣新港鄉板頭村","(23.5707052, 120.3219289)"
1196,中壢區興仁里,"320, Taiwan, 桃園市中壢區興仁里","(24.9690034, 121.2619213)"
1197,七股區玉成里,"724, Taiwan, 台南市七股區玉成里","(23.1424124, 120.1329474)"
1198,竹北市尚義里,"302, Taiwan, 新竹縣竹北市尚義里","(24.8765461, 120.9618181)"
1199,竹北市崇義里,"302, Taiwan, 新竹縣竹北市崇義里","(24.8631847, 120.9503435)"
1200,竹北市大義里,"302, Taiwan, 新竹縣竹北市大義里","(24.8632615, 120.9732917)"
1201,香山區大湖里,"300, Taiwan, 新竹市香山區大湖里","(24.7445145, 120.9331295)"
1202,鹽埕區南端里,"803, Taiwan, 高雄市鹽埕區南端里","(22.621023, 120.2866056)"
1203,鹽埕區港都里,"803, Taiwan, 高雄市鹽埕區港都里","(22.6226291, 120.2804771)"
1204,鹽埕區瀨南里,"803, Taiwan, 高雄市鹽埕區瀨南里","(22.6270995, 120.2848032)"
1205,鹽埕區江南里,"803, Taiwan, 高雄市鹽埕區江南里","(22.6223302, 120.2819192)"
1206,鼓山區前峰里,"804, Taiwan, 高雄市鼓山區前峰里","(22.6645601, 120.2837217)"
1207,鼓山區光榮里,"804, Taiwan, 高雄市鼓山區光榮里","(22.6584495, 120.2808377)"
1208,池上鄉慶豐村,"958, Taiwan, 台東縣池上鄉慶豐村","(23.1259838, 121.2268647)"
1209,鼓山區忠正里,"804, Taiwan, 高雄市鼓山區忠正里","(22.6553218, 120.2765115)"
1210,鼓山區龍井里,"804, Taiwan, 高雄市鼓山區龍井里","(22.6582369, 120.2656955)"
1211,鼓山區正德里,"804, Taiwan, 高雄市鼓山區正德里","(22.6479455, 120.270022)"
1212,鼓山區平和里,"804, Taiwan, 高雄市鼓山區平和里","(22.6509968, 120.2779536)"
1213,鼓山區民強里,"804, Taiwan, 高雄市鼓山區民強里","(22.6517402, 120.2808377)"
1214,鼓山區厚生里,"804, Taiwan, 高雄市鼓山區厚生里","(22.6466719, 120.2793956)"
1215,桃園區龍祥里,"330, Taiwan, 桃園市桃園區龍祥里","(24.9846164, 121.2747966)"
1216,佳冬鄉昌隆村,"931, Taiwan, 屏東縣佳冬鄉昌隆村","(22.4511469, 120.5653251)"
1217,佳冬鄉石光村,"931, Taiwan, 屏東縣佳冬鄉石光村","(22.4367166, 120.5638863)"
1218,東區復中里,"300, Taiwan, 新竹市東區復中里","(24.8101472, 120.9754429)"
1219,東區錦華里,"300, Taiwan, 新竹市東區錦華里","(24.8108029, 120.9725746)"
1220,鼓山區裕豐里,"804, Taiwan, 高雄市鼓山區裕豐里","(22.6667886, 120.2923733)"
1221,鼓山區鼓岩里,"804, Taiwan, 高雄市鼓山區鼓岩里","(22.6419794, 120.2729063)"
1222,鼓山區興宗里,"804, Taiwan, 高雄市鼓山區興宗里","(22.6360135, 120.2757905)"
1223,鼓山區新民里,"804, Taiwan, 高雄市鼓山區新民里","(22.6234528, 120.2732668)"
1224,鼓山區延平里,"804, Taiwan, 高雄市鼓山區延平里","(22.6208627, 120.272005)"
1225,鼓山區維生里,"804, Taiwan, 高雄市鼓山區維生里","(22.6192775, 120.2739879)"
1226,鼓山區惠安里,"804, Taiwan, 高雄市鼓山區惠安里","(22.6232302, 120.2711036)"
1227,鼓山區壽山里,"804, Taiwan, 高雄市鼓山區壽山里","(22.6253926, 120.2703826)"
1228,鼓山區哨船頭里,"804, Taiwan, 高雄市鼓山區哨船頭里","(22.6204729, 120.2682193)"
1229,新豐鄉坡頭村,"304, Taiwan, 新竹縣新豐鄉坡頭村","(24.9258843, 120.9790281)"
1230,新豐鄉中崙村,"304, Taiwan, 新竹縣新豐鄉中崙村","(24.8979939, 121.0077058)"
1231,新豐鄉重興村,"304, Taiwan, 新竹縣新豐鄉重興村","(24.9015968, 120.9861981)"
1232,新豐鄉員山村,"304, Taiwan, 新竹縣新豐鄉員山村","(24.8849893, 121.000537)"
1233,新豐鄉忠孝村,"304, Taiwan, 新竹縣新豐鄉忠孝村","(24.8776559, 120.9976694)"
1234,新豐鄉山崎村,"304, Taiwan, 新竹縣新豐鄉山崎村","(24.8731586, 120.9969525)"
1235,新豐鄉崎頂村,"304, Taiwan, 新竹縣新豐鄉崎頂村","(24.8912869, 120.9905)"
1236,芎林鄉五龍村,"307, Taiwan, 新竹縣芎林鄉五龍村","(24.7385453, 121.1223488)"
1237,芎林鄉華龍村,"307, Taiwan, 新竹縣芎林鄉華龍村","(24.7505704, 121.1395358)"
1238,芎林鄉秀湖村,"307, Taiwan, 新竹縣芎林鄉秀湖村","(24.7292112, 121.1166193)"
1239,芎林鄉永興村,"307, Taiwan, 新竹縣芎林鄉永興村","(24.7598414, 121.1223488)"
1240,芎林鄉石潭村,"307, Taiwan, 新竹縣芎林鄉石潭村","(24.7544527, 121.099429)"
1241,芎林鄉新鳳村,"307, Taiwan, 新竹縣芎林鄉新鳳村","(24.7664171, 121.0936983)"
1242,芎林鄉中坑村,"307, Taiwan, 新竹縣芎林鄉中坑村","(24.7797607, 121.1051594)"
1243,芎林鄉水坑村,"307, Taiwan, 新竹縣芎林鄉水坑村","(24.7877165, 121.0936983)"
1244,竹北市鹿場里,"302, Taiwan, 新竹縣竹北市鹿場里","(24.8154575, 121.0191751)"
1245,竹北市東平里,"302, Taiwan, 新竹縣竹北市東平里","(24.8064998, 121.0292097)"
1246,竹北市中興里,"302, Taiwan, 新竹縣竹北市中興里","(24.8111699, 121.0320766)"
1247,竹北市隘口里,"302, Taiwan, 新竹縣竹北市隘口里","(24.7998949, 121.0464101)"
1248,竹北市東海里,"302, Taiwan, 新竹縣竹北市東海里","(24.8022468, 121.0535762)"
1249,竹北市竹北里,"302, Taiwan, 新竹縣竹北市竹北里","(24.8377695, 121.0206086)"
1250,竹北市竹仁里,"302, Taiwan, 新竹縣竹北市竹仁里","(24.8364203, 121.0148742)"
1251,竹北市竹義里,"302, Taiwan, 新竹縣竹北市竹義里","(24.8362111, 121.0012539)"
1252,竹北市泰和里,"302, Taiwan, 新竹縣竹北市泰和里","(24.8447222, 121.0077058)"
1253,竹北市新社里,"302, Taiwan, 新竹縣竹北市新社里","(24.8448597, 120.9983863)"
1254,竹北市聯興里,"302, Taiwan, 新竹縣竹北市聯興里","(24.8446493, 120.9847642)"
1255,竹北市麻園里,"302, Taiwan, 新竹縣竹北市麻園里","(24.8509438, 120.9747258)"
1256,竹北市溪州里,"302, Taiwan, 新竹縣竹北市溪州里","(24.8339925, 120.9847642)"
1257,竹北市白地里,"302, Taiwan, 新竹縣竹北市白地里","(24.849553, 120.9575153)"
1258,竹北市新港里,"302, Taiwan, 新竹縣竹北市新港里","(24.8521773, 120.9460402)"
1259,竹北市大眉里,"302, Taiwan, 新竹縣竹北市大眉里","(24.8570025, 120.9948017)"
1260,竹北市十興里,"302, Taiwan, 新竹縣竹北市十興里","(24.8234838, 121.0306432)"
1261,竹北市新國里,"302, Taiwan, 新竹縣竹北市新國里","(24.8383548, 120.9948017)"
1262,竹北市新庄里,"302, Taiwan, 新竹縣竹北市新庄里","(24.8375821, 120.9632524)"
1263,竹北市北崙里,"302, Taiwan, 新竹縣竹北市北崙里","(24.828913, 121.0098564)"
1264,竹北市新崙里,"302, Taiwan, 新竹縣竹北市新崙里","(24.8260384, 120.9962356)"
1265,竹北市福德里,"302, Taiwan, 新竹縣竹北市福德里","(24.8375612, 121.006989)"
1266,竹北市東興里,"302, Taiwan, Hsinchu County, Zhubei City, 嘉興路399巷6弄9號302號","(24.8213939, 121.0308251)"
1267,竹北市北興里,"302, Taiwan, 新竹縣竹北市十興里","(24.8234838, 121.0306432)"
1268,竹北市興安里,"116, Taiwan, 台北市文山區興安里","(24.9974612, 121.5491316)"
1269,竹北市文化里,"No. 50, Zhongzheng West Road, Zhubei City, Hsinchu County, Taiwan 302","(24.8395807, 121.0040235)"
1270,竹東鎮上坪里,"310, Taiwan, 新竹縣竹東鎮上坪里","(24.6546638, 121.1166193)"
1271,竹東鎮瑞峰里,"310, Taiwan, 新竹縣竹東鎮瑞峰里","(24.661915, 121.0965637)"
1272,竹東鎮軟橋里,"310, Taiwan, 新竹縣竹東鎮軟橋里","(24.6948727, 121.0979963)"
1273,竹東鎮員崠里,"310, Taiwan, 新竹縣竹東鎮員崠里","(24.7061799, 121.095131)"
1274,竹東鎮東寧里,"310, Taiwan, 新竹縣竹東鎮東寧里","(24.7225026, 121.099429)"
1275,竹東鎮大鄉里,"310, Taiwan, 新竹縣竹東鎮大鄉里","(24.7224279, 121.0765048)"
1276,竹東鎮東華里,"310, Taiwan, 新竹縣竹東鎮東華里","(24.736532, 121.089042)"
1277,竹東鎮商華里,"310, Taiwan, 新竹縣竹東鎮商華里","(24.7356065, 121.0858183)"
1278,竹東鎮竹東里,"310, Taiwan, 新竹縣竹東鎮竹東里","(24.7396007, 121.0858183)"
1279,竹東鎮榮樂里,"310, Taiwan, 新竹縣竹東鎮榮樂里","(24.739947, 121.0901165)"
1280,竹東鎮鷄林里,"310, Taiwan, 新竹縣竹東鎮鷄林里","(24.7341557, 121.1008616)"
1281,竹東鎮仁愛里,"310, Taiwan, 新竹縣竹東鎮仁愛里","(24.7428002, 121.0979963)"
1282,竹東鎮五豐里,"310, Taiwan, 新竹縣竹東鎮五豐里","(24.7437318, 121.0765048)"
1283,竹東鎮三重里,"310, Taiwan, 新竹縣竹東鎮三重里","(24.75701, 121.065041)"
1284,竹東鎮頭重里,"310, Taiwan, 新竹縣竹東鎮頭重里","(24.7795548, 121.0363768)"
1285,竹東鎮員山里,"310, Taiwan, 新竹縣竹東鎮員山里","(24.7902088, 121.0363768)"
1286,竹東鎮柯湖里,"310, Taiwan, 新竹縣竹東鎮柯湖里","(24.7582463, 121.0363768)"
1287,竹東鎮二重里,"310, Taiwan, 新竹縣竹東鎮二重里","(24.7649625, 121.0535762)"
1288,竹東鎮中山里,"310, Taiwan, 新竹縣竹東鎮中山里","(24.731544, 121.0904747)"
1289,竹東鎮中正里,"310, Taiwan, 新竹縣竹東鎮中正里","(24.7281739, 121.1037268)"
1290,竹東鎮南華里,"310, Taiwan, 新竹縣竹東鎮南華里","(24.7336185, 121.0886838)"
1291,竹東鎮榮華里,"310, Taiwan, 新竹縣竹東鎮榮華里","(24.7454277, 121.0865346)"
1292,竹東鎮忠孝里,"310, Taiwan, 新竹縣竹東鎮忠孝里","(24.7431709, 121.0833108)"
1293,竹東鎮陸豐里,"310, Taiwan, 新竹縣竹東鎮陸豐里","(24.7671961, 121.0757883)"
1294,新埔鎮內立里,"305, Taiwan, 新竹縣新埔鎮內立里","(24.8076985, 121.099429)"
1295,新埔鎮寶石里,"305, Taiwan, 新竹縣新埔鎮寶石里","(24.8063223, 121.0822362)"
1296,新埔鎮文山里,"305, Taiwan, 新竹縣新埔鎮文山里","(24.8248661, 121.0478433)"
1297,新埔鎮五埔里,"305, Taiwan, 新竹縣新埔鎮五埔里","(24.8236712, 121.099429)"
1298,新埔鎮四座里,"305, Taiwan, 新竹縣新埔鎮四座里","(24.8372972, 121.0922656)"
1299,新埔鎮旱坑里,"305, Taiwan, 新竹縣新埔鎮旱坑里","(24.8342633, 121.0765048)"
1300,新埔鎮田新里,"305, Taiwan, 新竹縣新埔鎮田新里","(24.8236134, 121.0765048)"
1301,新埔鎮新埔里,"305, Taiwan, 新竹縣新埔鎮新埔里","(24.8296973, 121.0804452)"
1302,新埔鎮新生里,"305, Taiwan, 新竹縣新埔鎮新生里","(24.8284373, 121.0757883)"
1303,新埔鎮新民里,"305, Taiwan, 新竹縣新埔鎮新民里","(24.8290954, 121.0729225)"
1304,新埔鎮上寮里,"305, Taiwan, 新竹縣新埔鎮上寮里","(24.8448541, 121.0535762)"
1305,新埔鎮下寮里,"305, Taiwan, 新竹縣新埔鎮下寮里","(24.8488016, 121.0363768)"
1306,新埔鎮南平里,"305, Taiwan, 新竹縣新埔鎮南平里","(24.8475467, 121.065041)"
1307,新埔鎮北平里,"305, Taiwan, 新竹縣新埔鎮北平里","(24.8562482, 121.0851019)"
1308,新埔鎮巨埔里,"305, Taiwan, 新竹縣新埔鎮巨埔里","(24.8396938, 121.1223488)"
1309,新埔鎮照門里,"305, Taiwan, 新竹縣新埔鎮照門里","(24.8616223, 121.1080244)"
1310,新埔鎮清水里,"305, Taiwan, 新竹縣新埔鎮清水里","(24.8669898, 121.1309426)"
1311,新埔鎮鹿鳴里,"305, Taiwan, 新竹縣新埔鎮鹿鳴里","(24.8517039, 121.1395358)"
1312,新埔鎮新北里,"305, Taiwan, 新竹縣新埔鎮新北里","(24.8543856, 121.1509924)"
1313,關西鎮東興里,"306, Taiwan, 新竹縣關西鎮東興里","(24.7904089, 121.1774817)"
1314,關西鎮西安里,"306, Taiwan, 新竹縣關西鎮西安里","(24.7927285, 121.1731865)"
1315,關西鎮南雄里,"306, Taiwan, 新竹縣關西鎮南雄里","(24.7889932, 121.1764079)"
1316,關西鎮北斗里,"306, Taiwan, 新竹縣關西鎮北斗里","(24.7995509, 121.1753341)"
1317,關西鎮仁安里,"306, Taiwan, 新竹縣關西鎮仁安里","(24.8112144, 121.1882189)"
1318,關西鎮北山里,"306, Taiwan, 新竹縣關西鎮北山里","(24.8058508, 121.1653117)"
1319,關西鎮南山里,"306, Taiwan, 新竹縣關西鎮南山里","(24.794524, 121.1567203)"
1320,關西鎮東安里,"306, Taiwan, 新竹縣關西鎮東安里","(24.7999326, 121.2025336)"
1321,關西鎮東光里,"306, Taiwan, 新竹縣關西鎮東光里","(24.7693284, 121.1968079)"
1322,關西鎮新富里,"306, Taiwan, 新竹縣關西鎮新富里","(24.7613233, 121.1853557)"
1323,關西鎮金山里,"306, Taiwan, 新竹縣關西鎮金山里","(24.7713709, 121.2225713)"
1324,關西鎮錦山里,"306, Taiwan, 新竹縣關西鎮錦山里","(24.7700867, 121.2511908)"
1325,關西鎮玉山里,"306, Taiwan, 新竹縣關西鎮玉山里","(24.7527291, 121.2111216)"
1326,關西鎮大同里,"306, Taiwan, 新竹縣關西鎮大同里","(24.8118093, 121.1509924)"
1327,關西鎮石光里,"306, Taiwan, 新竹縣關西鎮石光里","(24.8170831, 121.1280781)"
1328,關西鎮上林里,"306, Taiwan, 新竹縣關西鎮上林里","(24.7791894, 121.1424001)"
1329,關西鎮新力里,"306, Taiwan, 新竹縣關西鎮新力里","(24.7851435, 121.1280781)"
1330,關西鎮南和里,"306, Taiwan, 新竹縣關西鎮南和里","(24.8037481, 121.1166193)"
1331,關西鎮東山里,"306, Taiwan, 新竹縣關西鎮東山里","(24.7872914, 121.1996708)"
1332,關西鎮南新里,"306, Taiwan, 新竹縣關西鎮南新里","(24.7632749, 121.1653117)"
1333,關西鎮東平里,"306, Taiwan, 新竹縣關西鎮東平里","(24.8304143, 121.1395358)"
1334,湖口鄉孝勢村,"303, Taiwan, 新竹縣湖口鄉孝勢村","(24.9005003, 121.0446185)"
1335,湖口鄉仁勢村,"303, Taiwan, 新竹縣湖口鄉仁勢村","(24.9028335, 121.0460518)"
1336,湖口鄉愛勢村,"303, Taiwan, 新竹縣湖口鄉愛勢村","(24.905094, 121.052143)"
1337,湖口鄉信勢村,"303, Taiwan, 新竹縣湖口鄉信勢村","(24.9024049, 121.0406769)"
1338,湖口鄉中勢村,"303, Taiwan, 新竹縣湖口鄉中勢村","(24.8991097, 121.0550093)"
1339,湖口鄉德盛村,"303, Taiwan, 新竹縣湖口鄉德盛村","(24.9087052, 121.0306432)"
1340,湖口鄉和興村,"303, Taiwan, 新竹縣湖口鄉和興村","(24.9273709, 121.0421102)"
1341,湖口鄉長嶺村,"303, Taiwan, 新竹縣湖口鄉長嶺村","(24.8928338, 121.0765048)"
1342,湖口鄉長安村,"303, Taiwan, 新竹縣湖口鄉長安村","(24.8809137, 121.1051594)"
1343,湖口鄉湖口村,"303, Taiwan, 新竹縣湖口鄉湖口村","(24.8801821, 121.0736389)"
1344,湖口鄉湖鏡村,"303, Taiwan, 新竹縣湖口鄉湖鏡村","(24.8821324, 121.0535762)"
1345,湖口鄉湖南村,"303, Taiwan, 新竹縣湖口鄉湖南村","(24.8688471, 121.065041)"
1346,湖口鄉波羅村,"303, Taiwan, 新竹縣湖口鄉波羅村","(24.8833916, 121.0249093)"
1347,湖口鄉鳳凰村,"303, Taiwan, 新竹縣湖口鄉鳳凰村","(24.8730519, 121.0177415)"
1348,湖口鄉鳳山村,"303, Taiwan, 新竹縣湖口鄉鳳山村","(24.8640254, 121.0048384)"
