,Hospital,Address,Coordinates
65,屏東市維新里,"900, Taiwan, 屏東縣屏東市維新里","(22.6743544, 120.4811247)"
66,屏東市安樂里,"900, Taiwan, 屏東縣屏東市安樂里","(22.6723528, 120.4922827)"
67,屏東市平和里,"900, Taiwan, 屏東縣屏東市平和里","(22.6713145, 120.490843)"
68,屏東市楠樹里,"900, Taiwan, 屏東縣屏東市楠樹里","(22.6709166, 120.4935424)"
69,屏東市扶風里,"900, Taiwan, 屏東縣屏東市扶風里","(22.6720513, 120.4937223)"
70,屏東市慶春里,"900, Taiwan, 屏東縣屏東市慶春里","(22.6688525, 120.4930025)"
71,屏東市金泉里,"900, Taiwan, 屏東縣屏東市金泉里","(22.6693047, 120.490843)"
72,屏東市勝豐里,"900, Taiwan, 屏東縣屏東市勝豐里","(22.667295, 120.490843)"
73,屏東市橋南里,"900, Taiwan, 屏東縣屏東市橋南里","(22.6648581, 120.4976813)"
74,屏東市橋北里,"900, Taiwan, 屏東縣屏東市橋北里","(22.6696981, 120.4969615)"
75,屏東市豐榮里,"900, Taiwan, 屏東縣屏東市豐榮里","(22.6760954, 120.4984011)"
76,屏東市頂宅里,"900, Taiwan, 屏東縣屏東市頂宅里","(22.6531849, 120.4926426)"
77,屏東市厚生里,"900, Taiwan, 屏東縣屏東市厚生里","(22.6676547, 120.4811247)"
78,屏東市擇仁里,"900, Taiwan, 屏東縣屏東市擇仁里","(22.667789, 120.4868838)"
79,屏東市建國里,"900, Taiwan, 屏東縣屏東市建國里","(22.6670519, 120.4840043)"
80,屏東市萬年里,"900, Taiwan, 屏東縣屏東市萬年里","(22.6651092, 120.4868838)"
81,屏東市義勇里,"900, Taiwan, 屏東縣屏東市義勇里","(22.6607046, 120.4919227)"
82,屏東市永安里,"900, Taiwan, 屏東縣屏東市永安里","(22.659833, 120.4832844)"
83,屏東市公館里,"900, Taiwan, 屏東縣屏東市公館里","(22.639817, 120.4796849)"
84,屏東市凌雲里,"900, Taiwan, 屏東縣屏東市凌雲里","(22.6650365, 120.4552057)"
85,屏東市安鎮里,"900, Taiwan, 屏東縣屏東市安鎮里","(22.6661801, 120.4753654)"
86,屏東市大武里,"900, Taiwan, 屏東縣屏東市大武里","(22.6583583, 120.4775252)"
87,屏東市清溪里,"900, Taiwan, 屏東縣屏東市清溪里","(22.6601655, 120.4688858)"
88,屏東市興樂里,"900, Taiwan, 屏東縣屏東市興樂里","(22.6761795, 120.4948021)"
89,屏東市明正里,"900, Taiwan, 屏東縣屏東市明正里","(22.6761547, 120.4901231)"
90,屏東市太平里,"900, Taiwan, 屏東縣屏東市太平里","(22.6776034, 120.4912029)"
91,屏東市崇武里,"900, Taiwan, 屏東縣屏東市崇武里","(22.6631988, 120.4768052)"
92,潮州鎮潮州里,"920, Taiwan, 屏東縣潮州鎮潮州里","(22.5512969, 120.5426612)"
93,潮州鎮同榮里,"920, Taiwan, 屏東縣潮州鎮同榮里","(22.5489189, 120.5412221)"
94,東港鎮東隆里,"928, Taiwan, 屏東縣東港鎮東隆里","(22.4629336, 120.4490852)"
95,東港鎮豐漁里,"928, Taiwan, 屏東縣東港鎮豐漁里","(22.4639074, 120.4411641)"
96,東港鎮盛漁里,"928, Taiwan, 屏東縣東港鎮盛漁里","(22.4620417, 120.446925)"
97,東港鎮興漁里,"928, Taiwan, 屏東縣東港鎮興漁里","(22.4610727, 120.4483651)"
98,東港鎮鎮海里,"928, Taiwan, 屏東縣東港鎮鎮海里","(22.4596986, 120.4436845)"
99,東港鎮嘉蓮里,"928, Taiwan, 屏東縣東港鎮嘉蓮里","(22.4541065, 120.4544857)"
100,東港鎮共和里,"928, Taiwan, 屏東縣東港鎮共和里","(22.4632661, 120.4523255)"
101,恆春鎮城南里,"946, Taiwan, 屏東縣恆春鎮城南里","(22.0024452, 120.7479265)"
102,恆春鎮城北里,"946, Taiwan, 屏東縣恆春鎮城北里","(22.0062334, 120.7457713)"
103,恆春鎮城西里,"946, Taiwan, 屏東縣恆春鎮城西里","(22.0057869, 120.7414609)"
104,恆春鎮德和里,"946, Taiwan, 屏東縣恆春鎮德和里","(21.9948618, 120.7263732)"
105,恆春鎮龍水里,"946, Taiwan, 屏東縣恆春鎮龍水里","(21.9731751, 120.7407425)"
106,萬丹鄉寶厝村,"913, Taiwan, 屏東縣萬丹鄉寶厝村","(22.5800388, 120.4804048)"
107,萬丹鄉四維村,"913, Taiwan, 屏東縣萬丹鄉四維村","(22.6007128, 120.4904831)"
108,萬丹鄉田厝村,"913, Taiwan, 屏東縣萬丹鄉田厝村","(22.5872015, 120.4717657)"
109,長治鄉新潭村,"908, Taiwan, 屏東縣長治鄉新潭村","(22.6808617, 120.5235917)"
110,長治鄉潭頭村,"908, Taiwan, 屏東縣長治鄉潭頭村","(22.6734282, 120.520713)"
111,長治鄉復興村,"908, Taiwan, 屏東縣長治鄉復興村","(22.6838936, 120.5538138)"
112,長治鄉崙上村,"908, Taiwan, 屏東縣長治鄉崙上村","(22.6891613, 120.5351057)"
113,九如鄉九清村,"904, Taiwan, 屏東縣九如鄉九清村","(22.733141, 120.4883235)"
114,九如鄉九塊村,"904, Taiwan, 屏東縣九如鄉九塊村","(22.7351935, 120.4865238)"
115,里港鄉玉田村,"905, Taiwan, 屏東縣里港鄉玉田村","(22.7771403, 120.4861639)"
116,里港鄉大平村,"905, Taiwan, 屏東縣里港鄉大平村","(22.7758867, 120.4937223)"
117,里港鄉永春村,"905, Taiwan, 屏東縣里港鄉永春村","(22.7795601, 120.4969615)"
118,里港鄉過江村,"905, Taiwan, 屏東縣里港鄉過江村","(22.7870802, 120.4962417)"
119,里港鄉三廍村,"905, Taiwan, 屏東縣里港鄉三廍村","(22.8060924, 120.5077582)"
120,鹽埔鄉鹽南村,"907, Taiwan, 屏東縣鹽埔鄉鹽南村","(22.748255, 120.5725191)"
121,鹽埔鄉彭厝村,"907, Taiwan, 屏東縣鹽埔鄉彭厝村","(22.7505996, 120.5423015)"
122,高樹鄉高樹村,"906, Taiwan, 屏東縣高樹鄉高樹村","(22.8229427, 120.6056064)"
123,高樹鄉長榮村,"906, Taiwan, 屏東縣高樹鄉長榮村","(22.8157001, 120.5955373)"
124,高樹鄉東興村,"906, Taiwan, 屏東縣高樹鄉東興村","(22.8222716, 120.5897832)"
125,高樹鄉源泉村,"906, Taiwan, 屏東縣高樹鄉源泉村","(22.8110166, 120.6113599)"
126,高樹鄉司馬村,"906, Taiwan, 屏東縣高樹鄉司馬村","(22.8447874, 120.6099215)"
127,高樹鄉舊庄村,"906, Taiwan, 屏東縣高樹鄉舊庄村","(22.7944591, 120.5883446)"
128,高樹鄉田子村,"906, Taiwan, 屏東縣高樹鄉田子村","(22.8026724, 120.5811515)"
129,萬巒鄉萬和村,"923, Taiwan, 屏東縣萬巒鄉萬和村","(22.5694245, 120.5696416)"
130,萬巒鄉五溝村,"923, Taiwan, 屏東縣萬巒鄉五溝村","(22.5992441, 120.5998528)"
131,萬巒鄉佳和村,"923, Taiwan, 屏東縣萬巒鄉佳和村","(22.5736744, 120.5940988)"
132,萬巒鄉新厝村,"923, Taiwan, 屏東縣萬巒鄉新厝村","(22.5688493, 120.617113)"
133,枋寮鄉枋寮村,"940, Taiwan, 屏東縣枋寮鄉枋寮村","(22.3685347, 120.5955373)"
134,枋寮鄉新龍村,"940, Taiwan, 屏東縣枋寮鄉新龍村","(22.377923, 120.5825901)"
135,枋寮鄉中寮村,"940, Taiwan, 屏東縣枋寮鄉中寮村","(22.3594389, 120.5982345)"
